placeID,name
134999,Kiku Cuernavaca
132825,Puesto de Tacos
135106,El Rincon de San Francisco
132667,Little Pizza Emilio Portes Gil
132613,Carnitas_Mata
135040,Restaurant los Compadres
132732,Taqueria EL amigo
132875,Shiroi-ie
132609,Pollo Frito Buenos Aires
135082,La Estrella de Dimas
135070,Restaurante 75
135069,Abondance Restaurante Bar
135065,El angel Restaurante
135076,Restaurante Pueblo Bonito
135086,Mcdonalds Parque Tangamanga
132870,Tortas y hamburguesas el gordo
132854,Sirlone
132937,Rockabilly
132856,Unicols Pizza
132668,Tacos El Guero
135033,Restaurant El Muladar de Calzada
132862,La Posada del Virrey
134983,Restaurant and Bar and Clothesline Carlos N Charlies
132851,KFC
135013,Giovannis
135042,Restaurant Oriental Express
132768,Mariscos Tia Licha
132561,Cafe Ambar
135045,Restaurante la Gran Via
132847,Don Burguers
135054,Restaurante y Pescaderia Tampico
134975,Rincon del Bife
135053,La Fontana Pizza Restaurante and Cafe
135050,Restaurante la Estrella de Dima
135025,El Rincon de San Francisco
135030,Preambulo Wifi Zone Cafe
135057,El Herradero Restaurante and Bar
135079,Koye Sushi
134992,Restaurant Teely
132954,La Parroquia
135041,Luna Cafe
132608,Hamburguesas La Perica
135046,Restaurante El Reyecito
132564,Churchs
132869,Dominos Pizza
132925,El Pueblito
132955,Emilianos
135059,Restaurant Bar Hacienda los Martinez
135001,Vips
135063,Restaurante Alhondiga
135080,Los Toneles
135000,Restaurant Los Pinos
135066,Restaurante Guerra
135034,Michiko Restaurant Japones
135060,Restaurante Marisco Sam
135055,La Cochinita Pibil Restaurante Yucateco
135108,Potzocalli
135074,Restaurante la Parroquia Potosina
135018,El Oceano Dorado
135064,Restaurante El Chivero S.A. de C.V.
135038,Restaurant la Chalita
135081,El Club
132723,Gordas de morales
135051,Restaurante Versalles
135021,Subway
135052,La Cantina Restaurante
132845,Cenaduria El Rincón de Tlaquepaque
135011,Los Vikingos
132858,Hamburguesas Valle Dorado
135026,La Cantina
132884,Dairy Queen
135016,Arrachela Grill
135104,Vips
132630,Palomo Tec
135047,Restaurante Casa de las Flores
132951,Vips
132665,Tacos Correcaminos
135044,Restaurant Wu Zhuo Yi
135035,El Mundo de la Pasta
135071,Restaurante la Cantina
132834,Gorditas Doa Gloria
132846,El Lechon Potosino
135048,Restaurante Bar Fu-hao
132717,Tortas Hawai
132861,Carls Jr
132885,Hamburguesas saul
132740,Carreton de Flautas y Migadas
132830,Rincon Huasteco
132773,El cotorreo
132706,Gorditas Dona Tota
132872,Pizzeria Julios
134987,Chilis Cuernavaca
132572,Cafe Chaires
132958,Tacos Los Volcanes
132733,Little Cesarz
132922,Cafe Punta del Cielo
132715,Tacos de La Estacion
135027,Restaurant Orizatlan
132767,Restaurant Familiar El Chino
135039,Restaurant de Mariscos de Picon
134996,Sanborns Casa Piedra
132755,La Estrella de Dimas
135043,Pizza Clasica
132654,Carnitas Mata Calle 16 de Septiembre
135049,Restaurante de Mariscos la Langosta
135073,Restaurante Bar El Gallinero
132560,Puesto de Gorditas
134976,Log Yin
135075,Mariscos El Pescador
132660,Carnitas Mata Calle
132921,Crudalia
132594,Tacos de Barbacoa
134986,Restaurant Las Mananitas
135062,Restaurante El Cielo Potosino
132766,Mikasa
135088,Cafeteria cenidet
135058,Restaurante Tiberius
132754,Cabana Huasteca
132584,Gorditas Dona Tota
135032,Cafeteria y Restaurant El Pacifico
135028,La Virreina
135085,Tortas Locas Hipocampo
132663,Tacos Abi
132626,La Perica Hamburguesa
132583,McDonalds Centro
132866,Chaires
135072,Sushi Itto
135109,Paniroles
135019,Restaurant Bar Coty y Pablo
132877,Sirloin Stockade